mn_tbl,spc_tbl,spc_ltx_tbl,cat_tbl,mt_tbl,freq_tbl,freq_rs_tbl,EU_K_tbl,aij_tbl,qn_tbl,peak_tbl,peak_val,intint_tbl,intint_val,nupper_deg_tbl,in_aces_tbl
silicon monosulfide,SiS,$\mathrm{SiS}$,CDMS,60506,108.9243011,108.91994111168701,18.29681562024905,-4.679892731513521,$6_0 – 5_0$,$0.10589899282839142 \pm 0.023933172379064213$,0.10589899282839142,$0.7733538034960576 \pm 0.11140369098002832$,0.7733538034960576,$65642055682.80868 1 / cm2 \pm 9455914296.306566 1 / cm2$,False
methanol,13CH3OH,$\mathrm{^{13}CH_3OH}$,CDMS,33502,109.16412,109.14955470763364,13.109160987647707,-4.829312873860493,"$0_{0,0} – 1_{-1,1}$",$-0.007254400078508093 \pm 0.023933172379064213$,-0.007254400078508093,$0.10856038067069061 \pm 0.1111589520433244$,0.10856038067069061,$169726271887.34558 1 / cm2 \pm 173788949528.908 1 / cm2$,False
cyanodiacetylene,HC5N,$\mathrm{HC_5N}$,CDMS,75503,109.160973,109.15660353825724,110.02099184887616,-3.8532233619161804,$41 – 40$,$-0.14356431929941532 \pm 0.023933172379064213$,-0.14356431929941532,$-0.7714570270359801 \pm 0.11116215664351876$,-0.7714570270359801,$-511770860.8022897 1 / cm2 \pm 73742996.17526107 1 / cm2$,False
methanol,13CH3OH,$\mathrm{^{13}CH_3OH}$,CDMS,33502,109.16412,109.15902214767176,13.109160987647707,-4.829312873860493,"$0_{0,0} – 1_{-1,1}$",$1.342268916729193 \pm 0.023933172379064213$,1.342268916729193,$7.3056588703650736 \pm 0.1111589520433245$,7.3056588703650736,$11421867131335.033 1 / cm2 \pm 173788949528.90808 1 / cm2$,False
cyanoacetylene,HC3N,$\mathrm{HC_3N}$,CDMS,51501,109.173634,109.15906743822212,34.05734565796448,-3.9946882436703985,$12 – 11$,$1.342268916729193 \pm 0.023933172379064213$,1.342268916729193,$7.305022214510246 \pm 0.1111492650323525$,7.305022214510246,$66866765121.081764 1 / cm2 \pm 1017408514.3144854 1 / cm2$,False
cyanoacetylene,HC3N,$\mathrm{HC_3N}$,CDMS,51501,109.173634,109.16926403146664,34.05734565796448,-3.9946882436703985,$12 – 11$,$3.4383615907012315 \pm 0.023933172379064213$,3.4383615907012315,$25.271899602847405 \pm 0.11114926503189258$,25.271899602847405,$231327178109.1292 1 / cm2 \pm 1017408514.3102756 1 / cm2$,False
cyanide radical,13CN,$\mathrm{^{13}CN}$,CDMS,27505,109.21756740000001,109.21319567291407,5.2416165383435835,-6.160262166673911,"$1_{2,1} – 0_{1,0}$",$0.020478460442985923 \pm 0.023933172379064213$,0.020478460442985923,$-0.18250940358182596 \pm 0.11110455459519532$,-0.18250940358182596,$-1223960524125.026 1 / cm2 \pm 745099080958.0085 1 / cm2$,False
sulfur monoxide,SO,$\mathrm{SO}$,CDMS,48501,109.25222000000001,109.23764295283493,21.051265031672294,-4.966537646365916,$3_2 – 2_1$,$0.2047566210759569 \pm 0.023933172379064213$,0.2047566210759569,$0.9662235359915665 \pm 0.1110693144720529$,0.9662235359915665,$415059921382.6776 1 / cm2 \pm 47711962310.55227 1 / cm2$,False
sulfur monoxide,SO,$\mathrm{SO}$,CDMS,48501,109.25222000000001,109.24784688585049,21.051265031672294,-4.966537646365916,$3_2 – 2_1$,$0.42655569650535036 \pm 0.023933172379064213$,0.42655569650535036,$2.8978353777691805 \pm 0.11106931447159292$,2.8978353777691805,$1244820974933.606 1 / cm2 \pm 47711962310.35468 1 / cm2$,False
formamide,HC(O)NH2,$\mathrm{HC(O)NH_2}$,CDMS,45512,109.7535026,109.73885866888416,18.79184001984429,-4.05656069065368,"$5_{1,4} – 4_{1,3}$",$0.3745809121687968 \pm 0.027447230359238$,0.3745809121687968,$2.00514075000711 \pm 0.1464109279537987$,2.00514075000711,$48613249347.43572 1 / cm2 \pm 3549631589.5940094 1 / cm2$,False
formamide,HC(O)NH2,$\mathrm{HC(O)NH_2}$,CDMS,45512,109.7535026,109.74874332238736,18.79184001984429,-4.05656069065368,"$5_{1,4} – 4_{1,3}$",$0.3868756071932429 \pm 0.027447230359238$,0.3868756071932429,$2.662183884800427 \pm 0.1267955829999066$,2.662183884800427,$64542805286.89538 1 / cm2 \pm 3074071130.670544 1 / cm2$,False
carbon monoxide,C18O,$\mathrm{C^{18}O}$,CDMS,30502,109.78217570000001,109.77855038018149,5.268713463072985,-7.203054525687834,$1 – 0$,$0.23224834344755688 \pm 0.027447230359238$,0.23224834344755688,$0.5359553319542811 \pm 0.12676246630845883$,0.5359553319542811,$66792936610598.34 1 / cm2 \pm 15797654901334.666 1 / cm2$,False
isocyanic acid,HNCO,$\mathrm{HNCO}$,CDMS,43511,109.905749,109.8910847553111,15.82404386734811,-4.756160513886013,"$5_{0,5} – 4_{0,4}$",$2.926243462528939 \pm 0.027447230359238$,2.926243462528939,$15.223530969788827 \pm 0.14620811293365626$,15.223530969788827,$1853228833330.6155 1 / cm2 \pm 17798570587.416702 1 / cm2$,False
isocyanic acid,HNCO,$\mathrm{HNCO}$,CDMS,43511,109.905749,109.90134972659334,15.82404386734811,-4.756160513886013,"$5_{0,5} – 4_{0,4}$",$4.282792877466896 \pm 0.027447230359238$,4.282792877466896,$29.487449483506165 \pm 0.12661994003913937$,29.487449483506165,$3589639730274.1934 1 / cm2 \pm 15414014279.657076 1 / cm2$,False
carbon monoxide,13CO,$\mathrm{^{13}CO}$,CDMS,29501,110.2013543,110.19771513771137,5.288830862998518,-7.19841490366189,$1 – 0$,$1.2298307052272122 \pm 0.027447230359238$,1.2298307052272122,$6.977361345071782 \pm 0.14581592271670915$,6.977361345071782,$433444738784682.94 1 / cm2 \pm 9058316089252.402 1 / cm2$,False
isocyanic acid,HNCO,$\mathrm{HNCO}$,CDMS,43511,110.298089,110.28337240709625,59.15638784875158,-4.774193472008262,"$5_{1,4} – 4_{1,3}$",$0.07783305709333671 \pm 0.027447230359238$,0.07783305709333671,$0.39288783207739186 \pm 0.12616954178030654$,0.39288783207739186,$50212326688.660736 1 / cm2 \pm 16124872629.762299 1 / cm2$,False
isocyanic acid,HNCO,$\mathrm{HNCO}$,CDMS,43511,110.298089,110.29367402212888,59.15638784875158,-4.774193472008262,"$5_{1,4} – 4_{1,3}$",$0.03072167249915397 \pm 0.027447230359238$,0.03072167249915397,$0.1828432529724219 \pm 0.12616954178030662$,0.1828432529724219,$23367954926.280838 1 / cm2 \pm 16124872629.762312 1 / cm2$,False
methyl cyanide,CH3CN,$\mathrm{CH_3CN}$,CDMS,41505,110.3749894,110.36983500131396,47.12240786254756,-4.005395969983618,"$6_{2,0} – 5_{2,0}$",$0.4440546403519455 \pm 0.027447230359238$,0.4440546403519455,$3.4130577961823176 \pm 0.12608163700872807$,3.4130577961823176,$31471150405.65613 1 / cm2 \pm 1162574558.8402758 1 / cm2$,False
methyl cyanide,CH3CN,$\mathrm{CH_3CN}$,CDMS,41505,110.38137230000001,110.37621760323908,25.687384639316825,-3.9664030063141213,"$6_{1,0} – 5_{1,0}$",$0.7968018682476329 \pm 0.027447230359238$,0.7968018682476329,$7.00978515510731 \pm 0.1455781154646345$,7.00978515510731,$59092307345.84028 1 / cm2 \pm 1227219743.760137 1 / cm2$,False
methyl cyanide,CH3CN,$\mathrm{CH_3CN}$,CDMS,41505,110.3835002,110.37834540386834,18.541801400286896,-3.9541395175341347,"$6_{0,0} – 5_{0,0}$",$0.9171715288044303 \pm 0.027447230359238$,0.9171715288044303,$9.120992410787801 \pm 0.1455753091059462$,9.120992410787801,$74751788924.65648 1 / cm2 \pm 1193073548.2312949 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,111.74678449999999,111.73187461397477,16.1254824916184,-4.826773636245682,"$5_{0,5} – 4_{0,4}$",$0.0949229842163666 \pm 0.02847100745271184$,0.0949229842163666,$0.38032025792798857 \pm 0.14916301553597058$,0.38032025792798857,$56312587686.32529 1 / cm2 \pm 22086005719.72816 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,111.74678449999999,111.74193878704179,16.1254824916184,-4.826773636245682,"$5_{0,5} – 4_{0,4}$",$0.10503272583554404 \pm 0.02847100745271184$,0.10503272583554404,$0.7637459657113999 \pm 0.1291789607596538$,0.7637459657113999,$113084987632.56468 1 / cm2 \pm 19127042021.473766 1 / cm2$,False
cyanodiacetylene,HC5N,$\mathrm{HC_5N}$,CDMS,75503,111.8230245,111.81854848248125,115.38762453746665,-3.8217237248806954,$42 – 41$,$0.06415687759620536 \pm 0.02847100745271184$,0.06415687759620536,$0.5674099295169444 \pm 0.1490613174430342$,0.5674099295169444,$358713688.14230347 1 / cm2 \pm 94235811.1090206 1 / cm2$,False
methanol,13CH3OH,$\mathrm{^{13}CH_3OH}$,CDMS,33502,112.143546,112.12858317581848,28.03414452305419,-5.151713149173124,"$3_{1,3} – 4_{0,4}$",$-0.010967174396513964 \pm 0.02847100745271184$,-0.010967174396513964,$0.06235293558316816 \pm 0.12872192832172738$,0.06235293558316816,$30876323829.356197 1 / cm2 \pm 63741344423.143974 1 / cm2$,False
methanol,13CH3OH,$\mathrm{^{13}CH_3OH}$,CDMS,33502,112.143546,112.13830901153646,28.03414452305419,-5.151713149173124,"$3_{1,3} – 4_{0,4}$",$-0.07792586162041774 \pm 0.02847100745271184$,-0.07792586162041774,$-0.31656432335445706 \pm 0.12872192832063303$,-0.31656432335445706,$-156758338148.74588 1 / cm2 \pm 63741344422.60207 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.28714470000001,112.27216271607031,28.894230862077222,-4.895811878947282,"$5_{2,4} – 4_{2,3}$",$0.08787396281140977 \pm 0.03685005285364174$,0.08787396281140977,$0.36107062578246757 \pm 0.16639190909247553$,0.36107062578246757,$63281451714.57696 1 / cm2 \pm 29161944531.249233 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.28714470000001,112.27216271607031,28.894230862077222,-4.895811878947282,"$5_{2,4} – 4_{2,3}$",$0.004169065751891609 \pm 0.02847100745271184$,0.004169065751891609,$0.10238353899534904 \pm 0.12855731195596423$,0.10238353899534904,$17943799679.802933 1 / cm2 \pm 22531030629.997543 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.28714470000001,112.28227555522287,28.894230862077222,-4.895811878947282,"$5_{2,4} – 4_{2,3}$",$-0.01770553591880216 \pm 0.02847100745271184$,-0.01770553591880216,$0.3629578739796942 \pm 0.14844519732861525$,0.3629578739796942,$63612211951.32403 1 / cm2 \pm 26016593198.780636 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.28714470000001,112.28227555522287,28.894230862077222,-4.895811878947282,"$5_{2,4} – 4_{2,3}$",$0.11461130499852037 \pm 0.03685005285364174$,0.11461130499852037,$0.40552336002223266 \pm 0.16639190909389182$,0.40552336002223266,$71072264244.06078 1 / cm2 \pm 29161944531.497448 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.4596214,112.44461640325656,44.80646028670812,-5.011814845211951,"$5_{3,3} – 4_{3,2}$",$0.014893920945700264 \pm 0.02847100745271184$,0.014893920945700264,$0.0890681683060179 \pm 0.1482175303894893$,0.0890681683060179,$20452336029.428135 1 / cm2 \pm 34034546736.86149 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.4596214,112.44461640325656,44.80646028670812,-5.011814845211951,"$5_{3,3} – 4_{3,2}$",$0.010705409606700082 \pm 0.03685005285364174$,0.010705409606700082,$0.004865562426007616 \pm 0.19183815737330198$,0.004865562426007616,$1117257934.0238187 1 / cm2 \pm 44050961555.47632 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.4670074,112.4520014177748,44.80681475880152,-5.011786067211759,"$5_{3,2} – 4_{3,1}$",$0.03614923007199971 \pm 0.02847100745271184$,0.03614923007199971,$0.3122509833997316 \pm 0.1283517168607194$,0.3122509833997316,$71705501834.95453 1 / cm2 \pm 29474764718.655453 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.4670074,112.4520014177748,44.80681475880152,-5.011786067211759,"$5_{3,2} – 4_{3,1}$",$0.015097900482055872 \pm 0.03685005285364174$,0.015097900482055872,$0.13022494169632548 \pm 0.16612580707207458$,0.13022494169632548,$29904933185.778843 1 / cm2 \pm 38149229296.711266 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.8914435,112.87638088711732,28.945102038916716,-4.888828300201201,"$5_{2,3} – 4_{2,2}$",$0.06798567916957164 \pm 0.02847100745271184$,0.06798567916957164,$0.4118575949678786 \pm 0.12786915502469762$,0.4118575949678786,$71797570834.2957 1 / cm2 \pm 22290944315.65182 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.8914435,112.87638088711732,28.945102038916716,-4.888828300201201,"$5_{2,3} – 4_{2,2}$",$-0.007594473181186801 \pm 0.03685005285364174$,-0.007594473181186801,$-0.10004144186712169 \pm 0.1911043554715061$,-0.10004144186712169,$-17439844734.148792 1 / cm2 \pm 33314496724.96143 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.8914435,112.88654815081313,28.945102038916716,-4.888828300201201,"$5_{2,3} – 4_{2,2}$",$0.07695512901296171 \pm 0.02847100745271184$,0.07695512901296171,$0.3738224938969207 \pm 0.12786915502469762$,0.3738224938969207,$65167056072.16128 1 / cm2 \pm 22290944315.65182 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,112.8914435,112.88654815081313,28.945102038916716,-4.888828300201201,"$5_{2,3} – 4_{2,2}$",$0.08355564265776379 \pm 0.03685005285364174$,0.08355564265776379,$0.33243983706082353 \pm 0.16550122661217587$,0.33243983706082353,$57952974623.12849 1 / cm2 \pm 28851200478.11006 1 / cm2$,False
